sequence_id,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,class_label,next_value,split
S022,41.760,43.040,43.760,44.480,45.760,46.480,47.200,47.920,49.200,49.920,50.640,51.920,increasing,52.640,val
S023,19.000,17.780,17.120,15.900,14.680,13.460,12.800,11.580,10.360,9.700,8.480,7.260,decreasing,6.040,val
S024,26.240,31.276,31.116,25.760,20.964,20.804,25.840,31.436,31.276,25.920,20.564,20.964,seasonal,26.000,inference
S025,32.920,34.180,36.000,37.260,38.520,40.340,41.600,42.860,44.120,45.940,47.200,48.460,increasing,50.280,train
S026,40.160,39.300,38.440,38.140,37.280,36.420,35.560,35.260,34.400,33.540,33.240,32.380,decreasing,31.520,train
S027,16.840,21.570,21.410,16.920,12.430,12.830,17.000,21.170,21.570,17.080,12.590,12.430,seasonal,17.160,train
S028,24.080,24.980,25.880,27.340,28.240,29.140,30.600,31.500,32.400,33.300,34.760,35.660,increasing,36.560,train
S029,30.760,29.920,28.520,27.120,26.280,24.880,23.480,22.080,21.240,19.840,18.440,17.600,decreasing,16.200,train
S030,38.000,41.304,41.704,38.080,34.456,34.296,38.160,41.464,41.304,38.240,34.616,34.456,seasonal,37.760,val
S031,15.240,15.780,16.320,16.860,17.960,18.500,19.040,20.140,20.680,21.220,21.760,22.860,increasing,23.400,val
S032,21.920,20.880,20.400,19.360,18.320,17.840,16.800,15.760,14.720,14.240,13.200,12.160,decreasing,11.680,inference
S033,29.160,31.598,31.438,29.240,26.482,26.322,28.760,31.758,31.598,28.840,26.642,26.482,seasonal,28.920,train
S034,35.840,37.480,38.560,39.640,40.720,42.360,43.440,44.520,46.160,47.240,48.320,49.400,increasing,51.040,train
S035,43.080,41.500,39.920,38.900,37.320,35.740,34.720,33.140,31.560,29.980,28.960,27.380,decreasing,25.800,train
S036,19.760,25.356,25.196,19.840,15.044,14.884,19.920,24.956,25.356,20.000,14.644,15.044,seasonal,20.080,train
S037,27.000,27.720,29.000,29.720,30.440,31.160,32.440,33.160,33.880,35.160,35.880,36.600,increasing,37.320,train
S038,34.240,33.020,31.800,30.580,29.920,28.700,27.480,26.820,25.600,24.380,23.160,22.500,decreasing,21.280,val
S039,40.920,45.090,45.490,41.000,36.510,36.910,41.080,45.250,45.090,41.160,36.670,36.510,seasonal,41.240,val
S040,18.160,19.420,20.680,22.500,23.760,25.020,26.280,28.100,29.360,30.620,32.440,33.700,increasing,34.960,inference
S041,24.840,24.540,23.680,22.820,21.960,21.660,20.800,19.940,19.640,18.780,17.920,17.060,decreasing,16.760,train
S042,32.080,35.384,35.224,32.160,28.536,28.376,32.240,35.544,35.384,31.760,28.696,28.536,seasonal,31.840,train
S043,38.760,40.220,41.120,42.020,43.480,44.380,45.280,46.180,47.640,48.540,49.440,50.900,increasing,51.800,train
S044,16.000,14.600,13.760,12.360,10.960,9.560,8.720,7.320,5.920,5.080,3.680,2.280,decreasing,0.880,train
S045,23.240,25.678,25.518,22.760,20.562,20.402,22.840,25.838,25.678,22.920,20.162,20.562,seasonal,23.000,train
S046,29.920,30.460,31.560,32.100,32.640,33.740,34.280,34.820,35.360,36.460,37.000,37.540,increasing,38.640,val
S047,37.160,36.120,35.080,34.600,33.560,32.520,31.480,31.000,29.960,28.920,28.440,27.400,decreasing,26.360,val
S048,43.840,49.436,49.276,43.920,38.564,38.964,44.000,49.036,49.436,44.080,38.724,38.564,seasonal,44.160,inference
